gamma Case Scenario ES e_var Power n g h 
3   1   2 0.300      2.000 9.479956e-01  20  10   5 
3   1   2 0.300      2.000 9.797667e-01  25  10   5 
3   1   2 0.300      2.000 9.984108e-01  25  15   5 
3   1   2 0.300      2.000 9.924836e-01  20  15  10 
4   1   2 0.300      2.000 4.336374e-01  10   5   3 
4   1   2 0.300      2.000 5.932104e-01  15   5   3 
4   1   2 0.300      2.000 7.175230e-01  20   5   3 
4   1   2 0.300      2.000 8.739640e-01  15  10   5 
4   1   2 0.300      2.000 9.479956e-01  20  10   5 
4   1   2 0.300      2.000 9.797667e-01  25  10   5 
4   1   2 0.300      2.000 9.984108e-01  25  15   5 
4   1   2 0.300      2.000 9.924836e-01  20  15  10 
5   1   2 0.300      2.000 4.336374e-01  10   5   3 
5   1   2 0.300      2.000 5.932104e-01  15   5   3 
5   1   2 0.300      2.000 7.175230e-01  20   5   3 
5   1   2 0.300      2.000 8.739640e-01  15  10   5 
5   1   2 0.300      2.000 9.479956e-01  20  10   5 
5   1   2 0.300      2.000 9.797667e-01  25  10   5 
5   1   2 0.300      2.000 9.984108e-01  25  15   5 
5   1   2 0.300      2.000 9.924836e-01  20  15  10 
6   1   2 0.300      2.000 4.336374e-01  10   5   3 
6   1   2 0.300      2.000 5.932104e-01  15   5   3 
6   1   2 0.300      2.000 7.175230e-01  20   5   3 
6   1   2 0.300      2.000 8.739640e-01  15  10   5 
6   1   2 0.300      2.000 9.479956e-01  20  10   5 
6   1   2 0.300      2.000 9.797667e-01  25  10   5 
6   1   2 0.300      2.000 9.984108e-01  25  15   5 
6   1   2 0.300      2.000 9.924836e-01  20  15  10 
7   1   2 0.300      2.000 4.336374e-01  10   5   3 
7   1   2 0.300      2.000 5.932104e-01  15   5   3 
7   1   2 0.300      2.000 7.175230e-01  20   5   3 
7   1   2 0.300      2.000 8.739640e-01  15  10   5 
7   1   2 0.300      2.000 9.479956e-01  20  10   5 
7   1   2 0.300      2.000 9.797667e-01  25  10   5 
7   1   2 0.300      2.000 9.984108e-01  25  15   5 
7   1   2 0.300      2.000 9.924836e-01  20  15  10 
1   1   2 0.700      2.000 9.869034e-01  10   5   3 
1   1   2 0.700      2.000 9.992206e-01  15   5   3 
1   1   2 0.700      2.000 9.999619e-01  20   5   3 
1   1   2 0.700      2.000 9.999999e-01  15  10   5 
1   1   2 0.700      2.000 1.000000e+00  20  10   5 
1   1   2 0.700      2.000 1.000000e+00  25  10   5 
1   1   2 0.700      2.000   1  25  15   5 
1   1   2 0.700      2.000 1.000000e+00  20  15  10 
2   1   2 0.700      2.000 9.869034e-01  10   5   3 
2   1   2 0.700      2.000 9.992206e-01  15   5   3 
2   1   2 0.700      2.000 9.999619e-01  20   5   3 
2   1   2 0.700      2.000 9.999999e-01  15  10   5 
2   1   2 0.700      2.000 1.000000e+00  20  10   5 
2   1   2 0.700      2.000 1.000000e+00  25  10   5 
2   1   2 0.700      2.000   1  25  15   5 
2   1   2 0.700      2.000 1.000000e+00  20  15  10 
3   1   2 0.700      2.000 9.869034e-01  10   5   3 
3   1   2 0.700      2.000 9.992206e-01  15   5   3 
3   1   2 0.700      2.000 9.999619e-01  20   5   3 
3   1   2 0.700      2.000 9.999999e-01  15  10   5 
3   1   2 0.700      2.000 1.000000e+00  20  10   5 
3   1   2 0.700      2.000 1.000000e+00  25  10   5 
3   1   2 0.700      2.000   1  25  15   5 
3   1   2 0.700      2.000 1.000000e+00  20  15  10 
4   1   2 0.700      2.000 9.869034e-01  10   5   3 
4   1   2 0.700      2.000 9.992206e-01  15   5   3 
4   1   2 0.700      2.000 9.999619e-01  20   5   3 
4   1   2 0.700      2.000 9.999999e-01  15  10   5 
4   1   2 0.700      2.000 1.000000e+00  20  10   5 
4   1   2 0.700      2.000 1.000000e+00  25  10   5 
4   1   2 0.700      2.000   1  25  15   5 
4   1   2 0.700      2.000 1.000000e+00  20  15  10 
5   1   2 0.700      2.000 9.869034e-01  10   5   3 
5   1   2 0.700      2.000 9.992206e-01  15   5   3 
5   1   2 0.700      2.000 9.999619e-01  20   5   3 
